param,mu_star,mu_star_conf,sigma
default_heater_capacity_w,0.0,0.0,0.0
default_tank_volume_liters,0.0,0.0,0.0
dhw_daily_liters,0.0,0.0,0.0
dhw_fraction_schedule,0.0,0.0,0.0
dhw_heater_capacity_w,0.0,0.0,0.0
dhw_heater_fuel_type,0.0,0.0,0.0
dhw_heater_thermal_eff,0.0,0.0,0.0
dhw_occupant_count,0.0,0.0,0.0
dhw_peak_flow_m3s,0.0,0.0,0.0
dhw_setpoint_schedule,0.0,0.0,0.0
dhw_tank_volume_m3,0.0,0.0,0.0
dhw_waterheater_object_name,0.0,0.0,0.0
liters_per_person_per_day,0.0,0.0,0.0
occupant_density_m2_per_person,45.406512848706775,6.710955790735431,11.309985049333607
peak_hours,0.0,0.0,0.0
sched_afternoon,0.0,0.0,0.0
sched_evening,0.0,0.0,0.0
sched_morning,0.0,0.0,0.0
sched_peak,0.0,0.0,0.0
setpoint_c,0.0,0.0,0.0
usage_split_factor,0.0,0.0,0.0
Heater_Fuel_Type,0.0,0.0,0.0
Heater_Maximum_Capacity,0.0,0.0,0.0
Heater_Thermal_Efficiency,0.0,0.0,0.0
Name,0.0,0.0,0.0
Setpoint_Temperature_Schedule_Name,0.0,0.0,0.0
Tank_Volume,0.0,0.0,0.0
Use_Flow_Rate_Fraction_Schedule_Name,0.0,0.0,0.0
obj_type,0.0,0.0,0.0
lights_wm2,0.0,0.0,0.0
parasitic_wm2,0.0,0.0,0.0
tD,0.0,0.0,0.0
tN,0.0,0.0,0.0
lights_fraction_radiant,0.0,0.0,0.0
lights_fraction_visible,0.0,0.0,0.0
lights_fraction_replaceable,0.0,0.0,0.0
equip_fraction_radiant,0.0,0.0,0.0
equip_fraction_lost,0.0,0.0,0.0
roughness,0.0,0.0,0.0
wwr_range_used,0.0,0.0,0.0
wwr,0.0,0.0,0.0
Roughness,0.0,0.0,0.0
Thermal_Resistance,0.0,0.0,0.0
Thermal_Absorptance,0.0,0.0,0.0
Solar_Absorptance,0.0,0.0,0.0
Visible_Absorptance,0.0,0.0,0.0
Optical_Data_Type,0.0,0.0,0.0
Thickness,0.0,0.0,0.0
Solar_Transmittance,0.0,0.0,0.0
Front_Solar_Reflectance,0.0,0.0,0.0
Back_Solar_Reflectance,0.0,0.0,0.0
Visible_Transmittance,0.0,0.0,0.0
Front_Visible_Reflectance,0.0,0.0,0.0
Back_Visible_Reflectance,0.0,0.0,0.0
IR_Transmittance,0.0,0.0,0.0
Front_IR_Emissivity,0.0,0.0,0.0
Back_IR_Emissivity,0.0,0.0,0.0
Conductivity,0.0,0.0,0.0
Dirt_Correction_Factor,0.0,0.0,0.0
Solar_Diffusing,0.0,0.0,0.0
