param,mu_star,mu_star_conf,sigma
occupant_density_m2_per_person,105.8476250460426,0.5537335903760008,0.8800890572740016
liters_per_person_per_day,17.66539274638999,0.2954566368715618,0.4861551761629788
default_tank_volume_liters,99.6832704261753,0.21147666016606756,0.3419470403341329
default_heater_capacity_w,999.6207121878481,0.3663251279793201,0.59524348936283
setpoint_c,1.9416089947255386,0.28641714739283697,0.4989570056577512
usage_split_factor,0.3666257211123593,0.19048344300096237,0.47886878310119646
peak_hours,0.8124873371747526,0.4197152813262996,0.7277921237424021
sched_morning,0.32914211511415487,0.14360495596912864,0.4153929680557179
sched_peak,0.6100595351923402,0.2418231902799898,0.6052171862923763
sched_afternoon,0.6662765185068565,0.26608995753116643,0.8224203860488726
sched_evening,0.7636361140808731,0.23982178739930543,0.6559379549269679
dhw_occupant_count,0.4823564669848565,0.23546211326525696,0.5560463479050316
dhw_daily_liters,17.809229821668122,0.31431565943164186,0.5233717219354501
dhw_peak_flow_m3s,0.5172200442819304,0.2560139968576902,0.7023448709920588
dhw_tank_volume_m3,0.3989346316680894,0.2752604135751842,0.6052437102449392
dhw_heater_capacity_w,1689.17146210032,0.2999236236001901,0.46584184282692737
dhw_heater_fuel_type,0.33115393363732437,0.1364499004682323,0.4198802178788555
dhw_heater_thermal_eff,0.7778089707517211,0.30052673515658435,0.9055977016140073
dhw_waterheater.Tank_Volume,0.6219282765108801,0.24180386636369802,0.7691493354050623
dhw_waterheater.Heater_Maximum_Capacity,1689.3654553743909,0.3398802983082889,0.6258777446309752
dhw_waterheater.Heater_Fuel_Type,0.4689782907251356,0.23620556478691926,0.617764275538412
dhw_waterheater.Heater_Thermal_Efficiency,0.6441323467337497,0.22849292593591464,0.5393316779054156
LIGHTS__lights_wm2,2.0583806236092643,0.3958848116162669,0.6559061478472232
ELECTRICEQUIPMENT__parasitic_wm2,0.46845111459115285,0.18034057366643266,0.5740241009897015
LIGHTS_SCHEDULE__tD,800.2396956829205,0.413304963653168,0.6852022189731664
LIGHTS_SCHEDULE__tN,1000.117989318875,0.4008102337626282,0.7256639974368918
LIGHTS.Fraction_Radiant__lights_fraction_radiant,0.5670783437268255,0.19633669912036048,0.6444466375535105
LIGHTS.Fraction_Visible__lights_fraction_visible,0.37190835576802783,0.1541525360682815,0.4084127878599171
LIGHTS.Fraction_Replaceable__lights_fraction_replaceable,0.49060707835415085,0.1894267404913053,0.4344437230695784
ELECTRICEQUIPMENT.Fraction_Radiant__equip_fraction_radiant,0.46275110629758276,0.1784343969300005,0.5735218237195556
ELECTRICEQUIPMENT.Fraction_Lost__equip_fraction_lost,0.44869424883436293,0.27980572599190834,0.6116868655140216
roughness__roughness,0.9128970480283897,0.18589804385437111,0.335238088811424
wwr__wwr,0.39847097981946716,0.1859410421108301,0.5137713638476272
top_opq__Roughness,0.701933332678891,0.2306043381368012,0.5762308546004992
top_opq__Thermal_Resistance,0.9592920945589867,0.3009101554418568,0.5115924808800334
top_opq__Thermal_Absorptance,0.3965705876868014,0.15497737851686175,0.48546287609846134
top_opq__Solar_Absorptance,0.5710900267287797,0.20591151494439874,0.6422293769522639
top_opq__Visible_Absorptance,0.607422610876165,0.18162519491909698,0.4467735946499826
top_win__Optical_Data_Type,0.511837721099073,0.15630402023425174,0.6067811850305344
top_win__Thickness,0.5264288898513769,0.20672957066331565,0.661397247725901
top_win__Solar_Transmittance,0.7088255191967618,0.15479671853981525,0.7794443516721028
top_win__Front_Solar_Reflectance,0.4437023449288972,0.2692012332655707,0.6257054498052779
top_win__Back_Solar_Reflectance,0.6749596321595164,0.27562935006599426,0.7622559084550775
top_win__Visible_Transmittance,0.619466470790212,0.2386808765991549,0.6913839419520631
top_win__Front_Visible_Reflectance,0.4371478168766771,0.15134048370763498,0.5398890227768188
top_win__Back_Visible_Reflectance,0.47344588027153806,0.21759049012978615,0.589521044433305
top_win__IR_Transmittance,0.48575525227315663,0.23186618081891455,0.6626952785692689
top_win__Front_IR_Emissivity,0.544774799463994,0.25203717204252885,0.7020716251270865
top_win__Back_IR_Emissivity,0.4500632151732134,0.14480914433289932,0.44868022812819264
top_win__Conductivity,0.5784624376217835,0.25158065593242246,0.6771993036883315
top_win__Dirt_Correction_Factor,0.6415094398464134,0.2678747931142785,0.7105567124713572
top_win__Solar_Diffusing,0.3872327183424204,0.19041018901312504,0.5201595947227131
ground_floor_R_value__ground_floor_R_value,1.2957734866551618,0.35471634908681404,0.6700679591983806
ground_floor_U_value__ground_floor_U_value,0.37656212885813145,0.20969012881675667,0.5120316325811487
ground_floor_area_m2__ground_floor_area_m2,27.77672223672962,0.27987708407552103,0.5470322746361802
ground_floor_opq__Roughness,1.1099725898900943,0.4287644910812597,0.8716681658644432
ground_floor_opq__Thickness,0.572650096829966,0.22442516034705498,0.45013226882119134
ground_floor_opq__Conductivity,0.43820881196552364,0.1613445390705688,0.5123170329474016
