Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,3079022.3190845205,0.0,1712339.9184327582 
 01/01  02:00:00,3274234.2898411085,0.0,1712339.9184327582 
 01/01  03:00:00,3466897.681328824,0.0,1712339.9184327582 
 01/01  04:00:00,3663792.2957205866,0.0,4366798.154495369 
 01/01  05:00:00,3827919.2068164544,0.0,1712339.9184327582 
 01/01  06:00:00,3993173.1450937223,0.0,1712339.9184327582 
 01/01  07:00:00,5033558.773418869,0.0,4614360.8506907625 
 01/01  08:00:00,15626520.4122745,0.0,4615035.190281886 
 01/01  09:00:00,14884434.656060047,0.0,4700824.655157049 
 01/01  10:00:00,12670365.924263582,0.0,3877910.3187464033 
 01/01  11:00:00,11437518.242991945,0.0,2585313.4296195526 
 01/01  12:00:00,11109196.569770608,0.0,1712339.9184327582 
 01/01  13:00:00,11053681.54961422,0.0,4441839.509949602 
 01/01  14:00:00,11188933.6628762,0.0,1712339.9184327582 
 01/01  15:00:00,11086875.357696353,0.0,4442248.122203369 
 01/01  16:00:00,11519463.01827633,0.0,1712339.9184327582 
 01/01  17:00:00,12356844.309723062,0.0,4097644.0827673655 
 01/01  18:00:00,12473662.455622122,0.0,2082877.9618492392 
 01/01  19:00:00,12321956.125180217,0.0,4645261.732843636 
 01/01  20:00:00,1651203.8570480708,0.0,4645370.256575585 
 01/01  21:00:00,3275583.1680287737,0.0,4645708.127715416 
 01/01  22:00:00,3513320.0511230472,0.0,1712339.9184327582 
 01/01  23:00:00,2842104.010110677,0.0,4614629.478490242 
 01/01  24:00:00,2958861.273009129,0.0,4614701.27588248 
 01/02  01:00:00,3437239.6200315487,0.0,1712339.9184327582 
 01/02  02:00:00,3672485.5356978346,0.0,1712339.9184327582 
 01/02  03:00:00,3770054.759200145,0.0,4366615.9434699705 
 01/02  04:00:00,4004884.8633484114,0.0,1712339.9184327582 
 01/02  05:00:00,4008989.89904456,0.0,1712339.9184327582 
 01/02  06:00:00,4025147.0725558503,0.0,1712339.9184327582 
 01/02  07:00:00,4966177.455195219,0.0,4614989.542284997 
 01/02  08:00:00,15291668.74071995,0.0,4614311.171420363 
 01/02  09:00:00,14168974.559496272,0.0,4781362.145050134 
 01/02  10:00:00,12234408.758793369,0.0,4780809.241873831 
 01/02  11:00:00,10399101.22135549,0.0,1712339.9184327582 
 01/02  12:00:00,8800005.477284797,0.0,4441646.804284662 
 01/02  13:00:00,7618298.283280633,0.0,1712339.9184327582 
 01/02  14:00:00,6750875.398309084,0.0,1734607.584971952 
 01/02  15:00:00,6172072.723539816,0.0,4419996.502902068 
 01/02  16:00:00,7275182.675474277,0.0,1712339.9184327582 
 01/02  17:00:00,9054591.475339876,0.0,4442212.0477334 
 01/02  18:00:00,9794558.20208411,0.0,4211818.74373972 
 01/02  19:00:00,10350638.675263206,0.0,2146044.7376111504 
 01/02  20:00:00,899596.8495236394,0.0,4644995.061462305 
 01/02  21:00:00,2478550.7698316043,0.0,4645329.826399099 
 01/02  22:00:00,2894172.8223120105,0.0,4614983.082759162 
 01/02  23:00:00,2313737.86159135,0.0,1712339.9184327582 
 01/02  24:00:00,2667321.1112804753,0.0,4614312.51932891 
 01/03  01:00:00,2914598.205759381,0.0,1712339.9184327582 
 01/03  02:00:00,3110619.2149283364,0.0,4367005.263096872 
 01/03  03:00:00,3219917.8564118,0.0,1712339.9184327582 
 01/03  04:00:00,3431864.8635261008,0.0,1712339.9184327582 
 01/03  05:00:00,3568473.6231236835,0.0,1712339.9184327582 
 01/03  06:00:00,3789799.805374106,0.0,4366528.408920664 
 01/03  07:00:00,5235204.933235638,0.0,2047305.5217669779 
 01/03  08:00:00,15474866.128160901,0.0,4278982.514212367 
 01/03  09:00:00,14615327.947060682,0.0,4781534.242515248 
 01/03  10:00:00,11458498.797363766,0.0,4781387.565738223 
 01/03  11:00:00,8441067.981762469,0.0,3331632.709100439 
 01/03  12:00:00,6272307.183424338,0.0,2822359.0691643115 
 01/03  13:00:00,4949554.613974411,0.0,1712339.9184327582 
 01/03  14:00:00,4457200.441514647,0.0,4441978.527342079 
 01/03  15:00:00,4742696.649130315,0.0,1712339.9184327582 
 01/03  16:00:00,6917659.936513242,0.0,4442233.935145383 
 01/03  17:00:00,9443855.886398837,0.0,1712339.9184327582 
 01/03  18:00:00,10551539.843845312,0.0,4645411.032379652 
 01/03  19:00:00,11176506.672230776,0.0,4645934.518991146 
 01/03  20:00:00,1531967.5763255968,0.0,1712339.9184327582 
 01/03  21:00:00,3437735.454093539,0.0,4645917.913022781 
 01/03  22:00:00,3939288.775197939,0.0,4614542.480310551 
 01/03  23:00:00,2999142.792385661,0.0,4614812.571657654 
 01/03  24:00:00,3142476.0360143394,0.0,1712339.9184327582 
 01/04  01:00:00,3757560.1289379946,0.0,4367002.434258111 
 01/04  02:00:00,4274088.8003907185,0.0,1712339.9184327582 
 01/04  03:00:00,4523132.602617763,0.0,1712339.9184327582 
 01/04  04:00:00,4774366.85934189,0.0,2479211.3489274867 
 01/04  05:00:00,5116222.695290542,0.0,3599685.0390400505 
 01/04  06:00:00,5411275.881837221,0.0,1712339.9184327582 
 01/04  07:00:00,7204548.2967829835,0.0,4614962.183670831 
 01/04  08:00:00,17509754.288275458,0.0,2991681.350215731 
 01/04  09:00:00,16331658.652998403,0.0,3876615.8698589774 
 01/04  10:00:00,12888709.597438434,0.0,4333653.181056533 
 01/04  11:00:00,9950516.328181244,0.0,4442216.4854261875 
