Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_1_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,,,,,,,,,3488869.9497423912,0.0,4566240.878071144 
 01/01  02:00:00,,,,,,,,,3861041.3779028193,0.0,4566240.878071144 
 01/01  03:00:00,,,,,,,,,4191126.366686389,0.0,4566240.878071144 
 01/01  04:00:00,,,,,,,,,4553247.504366846,0.0,7220699.114133755 
 01/01  05:00:00,,,,,,,,,4871088.371678661,0.0,4566240.878071144 
 01/01  06:00:00,,,,,,,,,5188502.839222521,0.0,4566240.878071144 
 01/01  07:00:00,,,,,,,,,5415863.883380535,0.0,7767822.485814117 
 01/01  08:00:00,,,,,,,,,30533486.692037046,0.0,7767176.781317075 
 01/01  09:00:00,,,,,,,,,26218183.520354904,0.0,11840162.197258614 
 01/01  10:00:00,,,,,,,,,23560975.313051853,0.0,8202949.20348654 
 01/01  11:00:00,,,,,,,,,21641446.002870522,0.0,7375654.870340777 
 01/01  12:00:00,,,,,,,,,20451904.549738456,0.0,4566240.878071144 
 01/01  13:00:00,,,,,,,,,19723410.65035699,0.0,7375717.3733161185 
 01/01  14:00:00,,,,,,,,,19255301.49116745,0.0,4566240.878071144 
 01/01  15:00:00,,,,,,,,,18590347.6985754,0.0,7375741.158512669 
 01/01  16:00:00,,,,,,,,,18760634.686689205,0.0,7375764.907205295 
 01/01  17:00:00,,,,,,,,,20123150.130446594,0.0,4566240.878071144 
 01/01  18:00:00,,,,,,,,,20190940.726855427,0.0,7843937.132860399 
 01/01  19:00:00,,,,,,,,,19782728.526559107,0.0,8781010.000595238 
 01/01  20:00:00,,,,,,,,,331525.72937922506,0.0,10180946.004481532 
 01/01  21:00:00,,,,,,,,,1947838.6404082347,0.0,7845781.47116727 
 01/01  22:00:00,,,,,,,,,2610032.667997917,0.0,7767665.277511345 
 01/01  23:00:00,,,,,,,,,3014390.3312993124,0.0,7767982.560624605 
 01/01  24:00:00,2.891666666666666,-0.03749999999999998,1.854739388525906,17.307291666666668,26.854166666666668,171.9210012821981,-20.325946072972584,51476731.277453646,3156051.584732673,0.0,7767211.596572567 
 01/02  01:00:00,,,,,,,,,3942690.803675269,0.0,4566240.878071144 
 01/02  02:00:00,,,,,,,,,4383427.834982397,0.0,7220901.411440032 
 01/02  03:00:00,,,,,,,,,4594771.529812915,0.0,4566240.878071144 
 01/02  04:00:00,,,,,,,,,5023858.452187432,0.0,4566240.878071144 
 01/02  05:00:00,,,,,,,,,5134974.923065503,0.0,4566240.878071144 
 01/02  06:00:00,,,,,,,,,5233461.801174754,0.0,7220479.448025311 
 01/02  07:00:00,,,,,,,,,5386146.305842107,0.0,7767470.094071257 
 01/02  08:00:00,,,,,,,,,30042745.38917417,0.0,7768061.945067976 
 01/02  09:00:00,,,,,,,,,25156353.91940363,0.0,8203086.5802777 
 01/02  10:00:00,,,,,,,,,22345289.689696863,0.0,11840043.423359653 
 01/02  11:00:00,,,,,,,,,20011294.26617866,0.0,4566240.878071144 
 01/02  12:00:00,,,,,,,,,18532420.403390925,0.0,7375343.744810908 
 01/02  13:00:00,,,,,,,,,17119462.069513537,0.0,4566240.878071144 
 01/02  14:00:00,,,,,,,,,14962217.459123006,0.0,7375518.060721619 
 01/02  15:00:00,,,,,,,,,12414365.233897358,0.0,7375702.273383185 
 01/02  16:00:00,,,,,,,,,12950250.487029746,0.0,4566240.878071144 
 01/02  17:00:00,,,,,,,,,15631988.65242358,0.0,7375726.0817674305 
 01/02  18:00:00,,,,,,,,,16508434.484756373,0.0,7844188.0936226975 
 01/02  19:00:00,,,,,,,,,17013781.330159627,0.0,7843478.452074323 
 01/02  20:00:00,,,,,,,,,22976.312054083464,0.0,7843282.6643712735 
 01/02  21:00:00,,,,,,,,,763485.4041438322,0.0,7862538.891964898 
 01/02  22:00:00,,,,,,,,,1696301.3270604564,0.0,9173996.116167217 
 01/02  23:00:00,,,,,,,,,2399402.4448930165,0.0,9173642.73820959 
 01/02  24:00:00,3.686458333333334,0.859375,2.7411140405471186,16.630208333333332,62.854166666666664,171.8131188905313,-20.25473323294449,53798478.66372053,2999646.8593600644,0.0,8138722.312008305 
 01/03  01:00:00,,,,,,,,,3342218.9885889124,0.0,4566240.878071144 
 01/03  02:00:00,,,,,,,,,3628674.8963097483,0.0,4566240.878071144 
 01/03  03:00:00,,,,,,,,,3791946.2507108604,0.0,4566240.878071144 
 01/03  04:00:00,,,,,,,,,4115703.07384318,0.0,7220380.54892491 
