Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,4088130.4653769787,0.0,1712339.9184327582 
 01/01  02:00:00,4307784.564853815,0.0,1712339.9184327582 
 01/01  03:00:00,4524856.601364793,0.0,1712339.9184327582 
 01/01  04:00:00,4755556.632250407,0.0,4366798.154495369 
 01/01  05:00:00,4949697.99241288,0.0,1712339.9184327582 
 01/01  06:00:00,5147782.642427468,0.0,1712339.9184327582 
 01/01  07:00:00,6202484.55400314,0.0,4614360.8506907625 
 01/01  08:00:00,17441743.15256567,0.0,4615035.190281886 
 01/01  09:00:00,16529137.781432876,0.0,4700824.655157049 
 01/01  10:00:00,13805909.553136598,0.0,3877910.3187464033 
 01/01  11:00:00,12305312.42910253,0.0,2585313.4296195526 
 01/01  12:00:00,11958911.382517224,0.0,1712339.9184327582 
 01/01  13:00:00,11958693.570382576,0.0,4441839.509947016 
 01/01  14:00:00,12193795.497964129,0.0,1712339.9184327582 
 01/01  15:00:00,12105683.660204794,0.0,4442248.12220361 
 01/01  16:00:00,12713810.905008763,0.0,1712339.9184327582 
 01/01  17:00:00,13884531.259830832,0.0,4097644.0877712313 
 01/01  18:00:00,14101684.619710432,0.0,2082877.9564683565 
 01/01  19:00:00,13956477.485024456,0.0,4645261.732844571 
 01/01  20:00:00,2702864.990656537,0.0,4645374.09510968 
 01/01  21:00:00,4360166.641287098,0.0,4645709.093814084 
 01/01  22:00:00,4551202.938139524,0.0,1712339.9184327582 
 01/01  23:00:00,3874683.6451372216,0.0,4614628.626222127 
 01/01  24:00:00,3985461.3833540697,0.0,4614702.22369091 
 01/02  01:00:00,4543661.401341506,0.0,1712339.9184327582 
 01/02  02:00:00,4816480.262880972,0.0,1712339.9184327582 
 01/02  03:00:00,4916979.517907832,0.0,4366617.793135026 
 01/02  04:00:00,5194877.221512006,0.0,1712339.9184327582 
 01/02  05:00:00,5196641.169717681,0.0,1712339.9184327582 
 01/02  06:00:00,5205915.3287350545,0.0,1712339.9184327582 
 01/02  07:00:00,6149628.333064359,0.0,4614989.391553057 
 01/02  08:00:00,17081812.508966155,0.0,4614311.17954757 
 01/02  09:00:00,15712941.729933986,0.0,4781361.280575324 
 01/02  10:00:00,13365713.411148041,0.0,4780808.921130945 
 01/02  11:00:00,11079574.547860257,0.0,1712339.9184327582 
 01/02  12:00:00,9071198.031550623,0.0,4441647.055934573 
 01/02  13:00:00,7618179.246638907,0.0,1712339.9184327582 
 01/02  14:00:00,6465460.431970248,0.0,1732205.1111269374 
 01/02  15:00:00,5762382.594156864,0.0,4422401.13851984 
 01/02  16:00:00,7389669.88510027,0.0,1712339.9184327582 
 01/02  17:00:00,9749641.297545254,0.0,4442211.903955843 
 01/02  18:00:00,10763073.492645573,0.0,4210572.643856118 
 01/02  19:00:00,11491274.41925339,0.0,2147290.082411384 
 01/02  20:00:00,1555643.549814559,0.0,4645000.228166422 
 01/02  21:00:00,3444323.0240689404,0.0,4645330.208488716 
 01/02  22:00:00,3829235.8387168376,0.0,4614982.946723965 
 01/02  23:00:00,3260080.4068054324,0.0,1712339.9184327582 
 01/02  24:00:00,3633418.0941498317,0.0,4614312.570122317 
 01/03  01:00:00,3894121.1160725756,0.0,1712339.9184327582 
 01/03  02:00:00,4117859.5942499624,0.0,4367005.136574147 
 01/03  03:00:00,4235947.946043143,0.0,1712339.9184327582 
 01/03  04:00:00,4474365.678289566,0.0,1712339.9184327582 
 01/03  05:00:00,4625869.808411689,0.0,1712339.9184327582 
 01/03  06:00:00,4887237.493372469,0.0,4366529.579576522 
 01/03  07:00:00,6399511.11283344,0.0,2046095.9104889666 
 01/03  08:00:00,17288864.98818671,0.0,4280192.191556291 
 01/03  09:00:00,16217289.920112312,0.0,4781534.100607503 
 01/03  10:00:00,12227000.037326682,0.0,4781387.423588917 
 01/03  11:00:00,8424812.074642725,0.0,3329464.344391849 
 01/03  12:00:00,5470598.966970206,0.0,2824527.1505788313 
 01/03  13:00:00,3815352.2494538845,0.0,1712339.9184327582 
 01/03  14:00:00,3264091.9539882364,0.0,4441979.966427312 
 01/03  15:00:00,3720941.2458252925,0.0,1712339.9184327582 
 01/03  16:00:00,6719968.367239801,0.0,4442233.805377279 
 01/03  17:00:00,10085139.10863815,0.0,1712339.9184327582 
 01/03  18:00:00,11545373.552948568,0.0,4645411.557939713 
 01/03  19:00:00,12373831.807399344,0.0,4645935.574355265 
 01/03  20:00:00,2342863.8884158093,0.0,1712339.9184327582 
 01/03  21:00:00,4559957.239636131,0.0,4645917.785478278 
 01/03  22:00:00,5062289.191291604,0.0,4614541.873853385 
 01/03  23:00:00,4105197.1427116417,0.0,4614813.468427314 
 01/03  24:00:00,4227373.93614915,0.0,1712339.9184327582 
 01/04  01:00:00,4915398.093055854,0.0,4367002.316155919 
 01/04  02:00:00,5526897.826789417,0.0,1712339.9184327582 
 01/04  03:00:00,5822386.123855565,0.0,1712339.9184327582 
 01/04  04:00:00,6108357.326819579,0.0,2475954.683035483 
 01/04  05:00:00,6512818.312688906,0.0,3602942.9623354627 
 01/04  06:00:00,6871136.821017012,0.0,1712339.9184327582 
 01/04  07:00:00,8722220.444871968,0.0,4614962.056751985 
 01/04  08:00:00,19730861.792444095,0.0,2990556.9849546542 
 01/04  09:00:00,18221687.971119776,0.0,3876615.6691695675 
