Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_1_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,,,,,,,,,5672997.5349038895,0.0,4566240.878071144 
 01/01  02:00:00,,,,,,,,,6192819.794607842,0.0,4566240.878071144 
 01/01  03:00:00,,,,,,,,,6606948.68913366,0.0,4566240.878071144 
 01/01  04:00:00,,,,,,,,,7040492.3267490845,0.0,7220699.114132891 
 01/01  05:00:00,,,,,,,,,7405616.515474245,0.0,4566240.878071144 
 01/01  06:00:00,,,,,,,,,7766391.235361081,0.0,4566240.878071144 
 01/01  07:00:00,,,,,,,,,8008338.126320409,0.0,7767822.485813876 
 01/01  08:00:00,,,,,,,,,32286706.529530592,0.0,7767176.781317015 
 01/01  09:00:00,,,,,,,,,30064604.317878246,0.0,11840161.466138825 
 01/01  10:00:00,,,,,,,,,27055367.99721609,0.0,8202949.712854129 
 01/01  11:00:00,,,,,,,,,24833229.075734653,0.0,7375653.336044898 
 01/01  12:00:00,,,,,,,,,23499698.895526834,0.0,4566240.878071144 
 01/01  13:00:00,,,,,,,,,22736479.234183084,0.0,7375717.215607863 
 01/01  14:00:00,,,,,,,,,22270748.524774496,0.0,4566240.878071144 
 01/01  15:00:00,,,,,,,,,21516559.25509947,0.0,7375741.001046581 
 01/01  16:00:00,,,,,,,,,21863219.917417504,0.0,7375764.749980418 
 01/01  17:00:00,,,,,,,,,23828870.186357886,0.0,4566240.878071144 
 01/01  18:00:00,,,,,,,,,24043079.539523672,0.0,7843937.7454697685 
 01/01  19:00:00,,,,,,,,,23606619.11822296,0.0,8780216.359831909 
 01/01  20:00:00,,,,,,,,,1980234.6084768213,0.0,10181003.543734638 
 01/01  21:00:00,,,,,,,,,4378289.346004084,0.0,7847100.060368886 
 01/01  22:00:00,,,,,,,,,4740648.06502386,0.0,7767664.192496447 
 01/01  23:00:00,,,,,,,,,5048839.309035981,0.0,7767983.979597749 
 01/01  24:00:00,2.891666666666666,-0.03749999999999998,1.854739388525906,17.307291666666668,26.854166666666668,171.9210012821981,-20.325946072972584,51477254.51050545,5208352.595135629,0.0,7767211.760819584 
 01/02  01:00:00,,,,,,,,,6296596.219580247,0.0,4566240.878071144 
 01/02  02:00:00,,,,,,,,,6903379.048340894,0.0,7220901.161485227 
 01/02  03:00:00,,,,,,,,,7136935.170577395,0.0,4566240.878071144 
 01/02  04:00:00,,,,,,,,,7650999.357669239,0.0,4566240.878071144 
 01/02  05:00:00,,,,,,,,,7735357.771153762,0.0,4566240.878071144 
 01/02  06:00:00,,,,,,,,,7796521.633487488,0.0,7220482.361934163 
 01/02  07:00:00,,,,,,,,,7935684.962246514,0.0,7767469.264069505 
 01/02  08:00:00,,,,,,,,,31640783.700164285,0.0,7768061.725797618 
 01/02  09:00:00,,,,,,,,,28708496.6713701,0.0,8203085.875944773 
 01/02  10:00:00,,,,,,,,,25505563.226207267,0.0,11840043.822163962 
 01/02  11:00:00,,,,,,,,,22763927.13641918,0.0,4566240.878071144 
 01/02  12:00:00,,,,,,,,,21069267.878955834,0.0,7375342.502233574 
 01/02  13:00:00,,,,,,,,,19437353.941363133,0.0,4566240.878071144 
 01/02  14:00:00,,,,,,,,,16744063.5163789,0.0,7375516.393533643 
 01/02  15:00:00,,,,,,,,,13326514.834503878,0.0,7375702.074451537 
 01/02  16:00:00,,,,,,,,,14168749.413470428,0.0,4566240.878071144 
 01/02  17:00:00,,,,,,,,,18027215.14235624,0.0,7375725.883141436 
 01/02  18:00:00,,,,,,,,,19285405.810906664,0.0,7844187.870722983 
 01/02  19:00:00,,,,,,,,,20023147.65837927,0.0,7843478.629270494 
 01/02  20:00:00,,,,,,,,,696540.877992594,0.0,7843264.860280253 
 01/02  21:00:00,,,,,,,,,3104039.3793231472,0.0,7860944.005321148 
 01/02  22:00:00,,,,,,,,,3877053.249370832,0.0,9173997.14159885 
 01/02  23:00:00,,,,,,,,,4425265.96124628,0.0,9173642.365030969 
 01/02  24:00:00,3.686458333333334,0.859375,2.7411140405471186,16.630208333333332,62.854166666666664,171.8131188905313,-20.25473323294449,53798189.637479596,4998397.52370594,0.0,8140015.25409554 
 01/03  01:00:00,,,,,,,,,5411921.272782733,0.0,4566240.878071144 
 01/03  02:00:00,,,,,,,,,5817864.378782769,0.0,4566240.878071144 
 01/03  03:00:00,,,,,,,,,6058200.856858212,0.0,4566240.878071144 
 01/03  04:00:00,,,,,,,,,6483281.16487629,0.0,7220381.922943538 
 01/03  05:00:00,,,,,,,,,6800741.192231477,0.0,4566240.878071144 
 01/03  06:00:00,,,,,,,,,7277486.242945684,0.0,4566240.878071144 
 01/03  07:00:00,,,,,,,,,7934350.940838631,0.0,7767248.364292551 
 01/03  08:00:00,,,,,,,,,32251864.960717566,0.0,7766958.33506382 
 01/03  09:00:00,,,,,,,,,29561384.298363224,0.0,11840022.931512967 
 01/03  10:00:00,,,,,,,,,26109656.018684894,0.0,8202493.960310117 
 01/03  11:00:00,,,,,,,,,22849565.02633082,0.0,7375292.533190196 
 01/03  12:00:00,,,,,,,,,20522603.320959367,0.0,4566240.878071144 
 01/03  13:00:00,,,,,,,,,19142164.174613167,0.0,7375187.563369401 
 01/03  14:00:00,,,,,,,,,16122685.237576216,0.0,5874065.964663122 
 01/03  15:00:00,,,,,,,,,12161021.399312355,0.0,6067308.021895568 
 01/03  16:00:00,,,,,,,,,14119458.454400238,0.0,7375129.198789818 
 01/03  17:00:00,,,,,,,,,19788218.624191657,0.0,4566240.878071144 
 01/03  18:00:00,,,,,,,,,21634511.075566266,0.0,7843483.390271319 
 01/03  19:00:00,,,,,,,,,22384659.909397513,0.0,9721645.323112756 
 01/03  20:00:00,,,,,,,,,1902253.7354573973,0.0,9244063.9696733 
 01/03  21:00:00,,,,,,,,,4973888.321446667,0.0,7843559.083766855 
 01/03  22:00:00,,,,,,,,,5804942.251123868,0.0,7768043.902335487 
 01/03  23:00:00,,,,,,,,,6224478.17520017,0.0,7767300.612234517 
 01/03  24:00:00,1.1666666666666665,-0.6007504992247794,0.3890060654580482,14.333333333333334,122.921875,171.70635220439564,-20.176959693862347,51474157.721274935,6480852.973933716,0.0,7767418.428978475 
 01/04  01:00:00,,,,,,,,,7532227.737064751,0.0,4566240.878071144 
 01/04  02:00:00,,,,,,,,,8524189.183272662,0.0,7220925.878072616 
 01/04  03:00:00,,,,,,,,,9046249.381803807,0.0,4566240.878071144 
 01/04  04:00:00,,,,,,,,,9537780.482730076,0.0,4566240.878071144 
 01/04  05:00:00,,,,,,,,,10265291.973510005,0.0,5953302.233001424 
 01/04  06:00:00,,,,,,,,,10876042.210489407,0.0,5833282.148284262 
 01/04  07:00:00,,,,,,,,,11396857.047191171,0.0,7767985.842545655 
 01/04  08:00:00,,,,,,,,,37354007.83290373,0.0,7767428.345466383 
 01/04  09:00:00,,,,,,,,,33670253.336463965,0.0,8797612.556835989 
 01/04  10:00:00,,,,,,,,,29732638.19745008,0.0,11244862.94097785 
 01/04  11:00:00,,,,,,,,,26428584.378893193,0.0,4566240.878071144 
 01/04  12:00:00,,,,,,,,,23975752.05222186,0.0,7375577.89646015 
 01/04  13:00:00,,,,,,,,,22269640.370915055,0.0,5127486.366017797 
 01/04  14:00:00,,,,,,,,,18956194.70210018,0.0,6814143.718883049 
 01/04  15:00:00,,,,,,,,,14787853.37460697,0.0,7375250.993385477 
 01/04  16:00:00,,,,,,,,,16691174.029116798,0.0,4566240.878071144 
 01/04  17:00:00,,,,,,,,,22465415.026309952,0.0,7375163.277791805 
 01/04  18:00:00,,,,,,,,,24269692.73690368,0.0,7844328.906082453 
 01/04  19:00:00,,,,,,,,,24941692.817520555,0.0,7843582.232544646 
 01/04  20:00:00,,,,,,,,,3646092.9831848284,0.0,7843271.626492823 
 01/04  21:00:00,,,,,,,,,7616304.395499569,0.0,8801437.99083052 
 01/04  22:00:00,,,,,,,,,8808520.775968447,0.0,9173593.013298154 
 01/04  23:00:00,,,,,,,,,10012637.13589841,0.0,8627120.904185234 
 01/04  24:00:00,-2.370833333333333,-3.617708333333334,-2.8442852708335775,14.375,129.13541666666666,171.60081020210077,-20.09265613455602,53815648.02735638,10877684.356210817,0.0,7767384.2870358825 
