Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily),SCENARIO_2_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,,,,,,,,,,197266670.9617971,0.0,3339296.514321888 
 01/01  02:00:00,,,,,,,,,,189459911.70715454,0.0,3339296.514321888 
 01/01  03:00:00,,,,,,,,,,192453974.11099643,0.0,3339296.514321888 
 01/01  04:00:00,,,,,,,,,,195029651.1947321,0.0,5993754.750384498 
 01/01  05:00:00,,,,,,,,,,196942880.00814998,0.0,3339296.514321888 
 01/01  06:00:00,,,,,,,,,,200009496.80733424,0.0,3339296.514321888 
 01/01  07:00:00,,,,,,,,,,203555516.38103807,0.0,6241317.446579892 
 01/01  08:00:00,,,,,,,,,,118866267.68897536,0.0,6241991.786653088 
 01/01  09:00:00,,,,,,,,,,128502473.39361075,0.0,6327784.35248846 
 01/01  10:00:00,,,,,,,,,,128472428.63853502,0.0,5504866.9190131 
 01/01  11:00:00,,,,,,,,,,132265272.69231334,0.0,4212267.268914881 
 01/01  12:00:00,,,,,,,,,,139831865.0829387,0.0,3339296.514321888 
 01/01  13:00:00,,,,,,,,,,143634510.54573703,0.0,6068796.10443319 
 01/01  14:00:00,,,,,,,,,,147108439.09715706,0.0,3339296.514321888 
 01/01  15:00:00,,,,,,,,,,148846045.40607008,0.0,6069204.718257412 
 01/01  16:00:00,,,,,,,,,,152649613.28674376,0.0,3339296.514321888 
 01/01  17:00:00,,,,,,,,,,150525416.01183352,0.0,5724603.436275462 
 01/01  18:00:00,,,,,,,,,,144630021.92744783,0.0,3709831.592438407 
 01/01  19:00:00,,,,,,,,,,138242275.06378406,0.0,6272218.329238603 
 01/01  20:00:00,,,,,,,,,,219291928.12720335,0.0,6272266.538788125 
 01/01  21:00:00,,,,,,,,,,207850202.19093844,0.0,6272665.486037127 
 01/01  22:00:00,,,,,,,,,,202366035.66053095,0.0,3339296.514321888 
 01/01  23:00:00,,,,,,,,,,207531469.86061928,0.0,6241585.401612436 
 01/01  24:00:00,2.891666666666666,-0.03749999999999998,1.854739388525906,17.307291666666668,26.854166666666668,171.9210012821981,-20.325946072972584,33574828.53243748,0.0,213535950.81229478,0.0,6241658.619755276 
 01/02  01:00:00,,,,,,,,,,216522482.3424793,0.0,3339296.514321888 
 01/02  02:00:00,,,,,,,,,,211920867.41526505,0.0,3339296.514321888 
 01/02  03:00:00,,,,,,,,,,210746334.02458012,0.0,5993573.998434175 
 01/02  04:00:00,,,,,,,,,,215588008.42245936,0.0,3339296.514321888 
 01/02  05:00:00,,,,,,,,,,207335590.41774714,0.0,3339296.514321888 
 01/02  06:00:00,,,,,,,,,,201168076.55976617,0.0,3339296.514321888 
 01/02  07:00:00,,,,,,,,,,197519238.20180094,0.0,6241946.019204602 
 01/02  08:00:00,,,,,,,,,,99828922.57472077,0.0,6241267.77361735 
 01/02  09:00:00,,,,,,,,,,97866928.77138983,0.0,6408318.059847131 
 01/02  10:00:00,,,,,,,,,,100002582.49408449,0.0,6407765.585028963 
 01/02  11:00:00,,,,,,,,,,102466832.80474564,0.0,3339296.514321888 
 01/02  12:00:00,,,,,,,,,,112714994.54309154,0.0,6068603.598115835 
 01/02  13:00:00,,,,,,,,,,116334622.12454501,0.0,3339296.514321888 
 01/02  14:00:00,,,,,,,,,,117664570.63517377,0.0,3359671.483333502 
 01/02  15:00:00,,,,,,,,,,105780432.38281694,0.0,6048847.49907727 
 01/02  16:00:00,,,,,,,,,,101617916.1508936,0.0,3339296.514321888 
 01/02  17:00:00,,,,,,,,,,106593176.42852238,0.0,6069168.530352918 
 01/02  18:00:00,,,,,,,,,,113006656.89032897,0.0,5837793.647662234 
 01/02  19:00:00,,,,,,,,,,128848636.07955186,0.0,3773982.4287154493 
 01/02  20:00:00,,,,,,,,,,222298344.57384485,0.0,6272050.213415306 
 01/02  21:00:00,,,,,,,,,,214501613.9320137,0.0,6272286.998421211 
 01/02  22:00:00,,,,,,,,,,210529220.76096284,0.0,6241939.473636607 
 01/02  23:00:00,,,,,,,,,,214101654.9605965,0.0,3339296.514321888 
 01/02  24:00:00,3.686458333333334,0.859375,2.7411140405471186,16.630208333333332,62.854166666666664,171.8131188905313,-20.25473323294449,33650133.10753765,0.0,220194395.12572277,0.0,6241269.192118704 
 01/03  01:00:00,,,,,,,,,,231261854.68230197,0.0,3339296.514321888 
 01/03  02:00:00,,,,,,,,,,238138692.29558846,0.0,5993961.668310083 
 01/03  03:00:00,,,,,,,,,,238820183.34866077,0.0,3339296.514321888 
 01/03  04:00:00,,,,,,,,,,244770111.11784935,0.0,3339296.514321888 
 01/03  05:00:00,,,,,,,,,,244804364.50628152,0.0,3339296.514321888 
 01/03  06:00:00,,,,,,,,,,248678757.30462256,0.0,5993486.772064393 
 01/03  07:00:00,,,,,,,,,,255881748.00913253,0.0,3672439.17578474 
 01/03  08:00:00,,,,,,,,,,166483342.5095087,0.0,5907777.564940412 
 01/03  09:00:00,,,,,,,,,,172755039.67174524,0.0,6408490.622917835 
 01/03  10:00:00,,,,,,,,,,168508047.89377177,0.0,6408343.94577403 
 01/03  11:00:00,,,,,,,,,,152843128.52522397,0.0,4955296.641412893 
 01/03  12:00:00,,,,,,,,,,143749771.48683298,0.0,4452607.899300214 
 01/03  13:00:00,,,,,,,,,,141500275.1906516,0.0,3339296.514321888 
 01/03  14:00:00,,,,,,,,,,148182043.35147086,0.0,6068937.309691487 
 01/03  15:00:00,,,,,,,,,,150433497.9727426,0.0,3339296.514321888 
 01/03  16:00:00,,,,,,,,,,164972156.20012242,0.0,6069190.333980454 
 01/03  17:00:00,,,,,,,,,,181964609.54584897,0.0,3339296.514321888 
 01/03  18:00:00,,,,,,,,,,193786465.48359612,0.0,6272368.426651277 
 01/03  19:00:00,,,,,,,,,,205575751.9745435,0.0,6272892.718753589 
 01/03  20:00:00,,,,,,,,,,297856670.89681387,0.0,3339296.514321888 
 01/03  21:00:00,,,,,,,,,,286178581.71884954,0.0,6272874.385353031 
 01/03  22:00:00,,,,,,,,,,276526661.33987486,0.0,6241498.488682736 
 01/03  23:00:00,,,,,,,,,,265512060.55980122,0.0,6241770.036279684 
 01/03  24:00:00,1.1666666666666665,-0.6007504992247794,0.3890060654580482,14.333333333333334,122.921875,171.70635220439564,-20.176959693862347,33428239.44756169,0.0,255202581.1544849,0.0,3339296.514321888 
 01/04  01:00:00,,,,,,,,,,291094049.6728661,0.0,5993958.9157358315 
 01/04  02:00:00,,,,,,,,,,317553679.16444635,0.0,3339296.514321888 
 01/04  03:00:00,,,,,,,,,,321291897.8435019,0.0,3339296.514321888 
 01/04  04:00:00,,,,,,,,,,326297795.6339693,0.0,4103013.04264176 
 01/04  05:00:00,,,,,,,,,,330859909.2124997,0.0,5229797.7551121395 
 01/04  06:00:00,,,,,,,,,,334703070.36338574,0.0,3339296.514321888 
 01/04  07:00:00,,,,,,,,,,340086922.68375903,0.0,6241918.656607062 
 01/04  08:00:00,,,,,,,,,,241821620.46150982,0.0,4617555.717722874 
 01/04  09:00:00,,,,,,,,,,235313492.13689244,0.0,5503572.272531081 
 01/04  10:00:00,,,,,,,,,,228106104.1760818,0.0,5961755.119375847 
 01/04  11:00:00,,,,,,,,,,220642547.86546016,0.0,6069172.911152855 
 01/04  12:00:00,,,,,,,,,,213133089.4639696,0.0,3339296.514321888 
 01/04  13:00:00,,,,,,,,,,205649256.0345625,0.0,6068657.045796886 
 01/04  14:00:00,,,,,,,,,,206625603.62923118,0.0,3339296.514321888 
 01/04  15:00:00,,,,,,,,,,212751531.50199208,0.0,6068797.417939835 
 01/04  16:00:00,,,,,,,,,,219102364.97116798,0.0,3339296.514321888 
 01/04  17:00:00,,,,,,,,,,226678584.0116828,0.0,3339296.514321888 
 01/04  18:00:00,,,,,,,,,,233531560.83366492,0.0,6272918.63318127 
 01/04  19:00:00,,,,,,,,,,239583534.62086472,0.0,6272827.8550070245 
 01/04  20:00:00,,,,,,,,,,347625469.5267883,0.0,6272434.858817134 
 01/04  21:00:00,,,,,,,,,,355562325.3701088,0.0,5016811.774285274 
 01/04  22:00:00,,,,,,,,,,358779936.25733864,0.0,4581260.59774101 
 01/04  23:00:00,,,,,,,,,,371900512.18486905,0.0,6241961.787121141 
 01/04  24:00:00,-2.370833333333333,-3.617708333333334,-2.8442852708335775,14.375,129.13541666666666,171.60081020210077,-20.09265613455602,35990682.06292097,0.0,379785488.8838899,0.0,6241273.119281922 
 01/05  01:00:00,,,,,,,,,,377958428.0590236,0.0,3339296.514321888 
 01/05  02:00:00,,,,,,,,,,377986633.59484744,0.0,3339296.514321888 
 01/05  03:00:00,,,,,,,,,,379692922.1795853,0.0,3799690.236221741 
 01/05  04:00:00,,,,,,,,,,381432567.57721525,0.0,5533267.8569567185 
 01/05  05:00:00,,,,,,,,,,383198184.76148564,0.0,3339296.514321888 
 01/05  06:00:00,,,,,,,,,,384986977.6686541,0.0,3339296.514321888 
 01/05  07:00:00,,,,,,,,,,388531539.91588765,0.0,6241504.807802932 
 01/05  08:00:00,,,,,,,,,,288899092.34586614,0.0,6241760.5191115085 
 01/05  09:00:00,,,,,,,,,,280927878.71629167,0.0,6407838.263702334 
 01/05  10:00:00,,,,,,,,,,272701253.3262923,0.0,6408500.517331162 
 01/05  11:00:00,,,,,,,,,,263736834.11282182,0.0,3339296.514321888 
 01/05  12:00:00,,,,,,,,,,254015014.0391029,0.0,3490711.383444742 
 01/05  13:00:00,,,,,,,,,,245570421.60595077,0.0,5917695.179022178 
 01/05  14:00:00,,,,,,,,,,243957031.60153827,0.0,3339296.514321888 
 01/05  15:00:00,,,,,,,,,,247286270.49563915,0.0,6069176.371825781 
 01/05  16:00:00,,,,,,,,,,250317039.2888873,0.0,3339296.514321888 
 01/05  17:00:00,,,,,,,,,,252579754.85716835,0.0,6068674.466729935 
 01/05  18:00:00,,,,,,,,,,255825372.68685454,0.0,3339296.514321888 
 01/05  19:00:00,,,,,,,,,,258502377.02101058,0.0,6272924.796605576 
 01/05  20:00:00,,,,,,,,,,353000922.9529855,0.0,6272833.973929705 
 01/05  21:00:00,,,,,,,,,,351579608.5327678,0.0,6272463.40312839 
 01/05  22:00:00,,,,,,,,,,350492593.4389562,0.0,3946276.679101186 
 01/05  23:00:00,,,,,,,,,,348123969.725699,0.0,5634558.600911157 
 01/05  24:00:00,-4.088541666666665,-7.080208333333332,-5.141229228510597,14.5703125,132.4921875,171.49660012976298,-20.001856138640335,33651762.79279836,0.0,347462690.5630882,0.0,6241714.720878892 
 01/06  01:00:00,,,,,,,,,,346891497.97904694,0.0,3339296.514321888 
 01/06  02:00:00,,,,,,,,,,348939632.1437224,0.0,3339296.514321888 
 01/06  03:00:00,,,,,,,,,,351341869.211121,0.0,5993956.682806741 
