Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,215739220.00349373,0.0,3339296.514321888 
 01/01  02:00:00,207690072.44037881,0.0,3339296.514321888 
 01/01  03:00:00,210662741.42307562,0.0,3339296.514321888 
 01/01  04:00:00,213221032.74200106,0.0,5993754.750384498 
 01/01  05:00:00,215120327.26644236,0.0,3339296.514321888 
 01/01  06:00:00,218181723.19684818,0.0,3339296.514321888 
 01/01  07:00:00,221799541.03360254,0.0,6241317.446579892 
 01/01  08:00:00,117040915.27606392,0.0,6241991.786171015 
 01/01  09:00:00,126924730.09793591,0.0,6327781.251046179 
 01/01  10:00:00,127139319.6307346,0.0,5504866.914635533 
 01/01  11:00:00,131089702.81628919,0.0,4212270.025508682 
 01/01  12:00:00,138771324.30659658,0.0,3339296.514321888 
 01/01  13:00:00,142662143.4716705,0.0,6068796.105838731 
 01/01  14:00:00,146206089.02325884,0.0,3339296.514321888 
 01/01  15:00:00,148000583.72266048,0.0,6069204.718092497 
 01/01  16:00:00,151852810.8335318,0.0,3339296.514321888 
 01/01  17:00:00,149771289.18971154,0.0,5724600.678656495 
 01/01  18:00:00,143912769.14979836,0.0,3709834.557738369 
 01/01  19:00:00,137556414.1384473,0.0,6272218.328732764 
 01/01  20:00:00,239388775.15700388,0.0,6272266.541271737 
 01/01  21:00:00,227343239.00473,0.0,6272665.492428261 
 01/01  22:00:00,221629995.08138824,0.0,3339296.514321888 
 01/01  23:00:00,226620994.92334142,0.0,6241585.395978471 
 01/01  24:00:00,232577105.50694987,0.0,6241658.626025422 
 01/02  01:00:00,235295780.47774747,0.0,3339296.514321888 
 01/02  02:00:00,230478275.01712418,0.0,3339296.514321888 
 01/02  03:00:00,229236557.6268117,0.0,5993574.010685571 
 01/02  04:00:00,234043919.78180903,0.0,3339296.514321888 
 01/02  05:00:00,225722098.1867684,0.0,3339296.514321888 
 01/02  06:00:00,219497739.84625876,0.0,3339296.514321888 
 01/02  07:00:00,215879139.1412806,0.0,6241946.01820772 
 01/02  08:00:00,97405288.73909749,0.0,6241267.773685757 
 01/02  09:00:00,96166754.21986054,0.0,6408318.052862861 
 01/02  10:00:00,98556939.36110693,0.0,6407765.582438486 
 01/02  11:00:00,101184788.9446772,0.0,3339296.514321888 
 01/02  12:00:00,111550792.20993865,0.0,6068603.600158106 
 01/02  13:00:00,115261544.9346152,0.0,3339296.514321888 
 01/02  14:00:00,116665590.76166683,0.0,3359652.0693817073 
 01/02  15:00:00,104842119.94421767,0.0,6048866.93050679 
 01/02  16:00:00,100733358.88707426,0.0,3339296.514321888 
 01/02  17:00:00,105757035.76553799,0.0,6069168.529191053 
 01/02  18:00:00,112210241.64478055,0.0,5837783.5781424865 
 01/02  19:00:00,128086152.90574315,0.0,3773992.4922045954 
 01/02  20:00:00,242723539.31586197,0.0,6272035.938629309 
 01/02  21:00:00,234344066.1769458,0.0,6272286.998135865 
 01/02  22:00:00,230115423.56792876,0.0,6241939.473737975 
 01/02  23:00:00,233477959.54821718,0.0,3339296.514321888 
 01/02  24:00:00,239494848.5685673,0.0,6241269.19208009 
 01/03  01:00:00,250436165.9392513,0.0,3339296.514321888 
 01/03  02:00:00,257214987.7394953,0.0,5993961.668404367 
