ogc_fid,param_name,assigned_value
4136730,fenez_roughness,MediumRough
4136730,fenez_wwr_range_used,"(0.22, 0.22)"
4136730,fenez_wwr,0.32
4136730,fenez_top_opq.obj_type,MATERIAL:NOMASS
4136730,fenez_top_opq.Name,Insulated_Roof_R5
4136730,fenez_top_opq.Roughness,MediumRough
4136730,fenez_top_opq.Thermal_Resistance_range,"(4.0, 5.0)"
4136730,fenez_top_opq.Thermal_Absorptance_range,"(0.9, 0.9)"
4136730,fenez_top_opq.Solar_Absorptance_range,"(0.7, 0.7)"
4136730,fenez_top_opq.Visible_Absorptance_range,"(0.7, 0.7)"
4136730,fenez_top_opq.Thermal_Resistance,4.639426798457884
4136730,fenez_top_opq.Thermal_Absorptance,0.9
4136730,fenez_top_opq.Solar_Absorptance,0.7
4136730,fenez_top_opq.Visible_Absorptance,0.7
4136730,fenez_top_win.obj_type,WINDOWMATERIAL:GLAZING
4136730,fenez_top_win.Name,Glazing_Clear_3mm
4136730,fenez_top_win.Optical_Data_Type,SpectralAverage
4136730,fenez_top_win.Thickness_range,"(0.003, 0.003)"
4136730,fenez_top_win.Solar_Transmittance_range,"(0.76, 0.78)"
4136730,fenez_top_win.Front_Solar_Reflectance_range,"(0.07, 0.08)"
4136730,fenez_top_win.Back_Solar_Reflectance_range,"(0.07, 0.08)"
4136730,fenez_top_win.Visible_Transmittance_range,"(0.86, 0.88)"
4136730,fenez_top_win.Front_Visible_Reflectance_range,"(0.06, 0.07)"
4136730,fenez_top_win.Back_Visible_Reflectance_range,"(0.06, 0.07)"
4136730,fenez_top_win.IR_Transmittance,0.0
4136730,fenez_top_win.Front_IR_Emissivity_range,"(0.84, 0.84)"
4136730,fenez_top_win.Back_IR_Emissivity_range,"(0.84, 0.84)"
4136730,fenez_top_win.Conductivity_range,"(0.95, 1.05)"
4136730,fenez_top_win.Dirt_Correction_Factor_range,"(1.0, 1.0)"
4136730,fenez_top_win.Solar_Diffusing,No
4136730,fenez_top_win.Thickness,0.003
4136730,fenez_top_win.Solar_Transmittance,0.7605002151044533
4136730,fenez_top_win.Front_Solar_Reflectance,0.0727502931836912
4136730,fenez_top_win.Back_Solar_Reflectance,0.07223210738148823
4136730,fenez_top_win.Visible_Transmittance,0.8747294242832803
4136730,fenez_top_win.Front_Visible_Reflectance,0.06676699487422912
4136730,fenez_top_win.Back_Visible_Reflectance,0.06892179567704845
4136730,fenez_top_win.Front_IR_Emissivity,0.84
4136730,fenez_top_win.Back_IR_Emissivity,0.84
4136730,fenez_top_win.Conductivity,0.9586938832629416
4136730,fenez_top_win.Dirt_Correction_Factor,1.0
4136730,fenez_ground_floor_R_value,2.5
4136730,fenez_ground_floor_R_value_range_used,"(2.5, 2.5)"
4136730,fenez_ground_floor_U_value,0.36
4136730,fenez_ground_floor_U_value_range_used,"(0.36, 0.36)"
4136730,fenez_ground_floor_area_m2,68.95
4136730,fenez_ground_floor_opq.obj_type,MATERIAL
4136730,fenez_ground_floor_opq.Name,DoorPanel_Range
4136730,fenez_ground_floor_opq.Roughness,MediumRough
4136730,fenez_ground_floor_opq.Thickness_range,"(0.14, 0.25)"
4136730,fenez_ground_floor_opq.Conductivity_range,"(1.4, 1.7)"
4136730,fenez_ground_floor_opq.Density_range,"(600, 700)"
4136730,fenez_ground_floor_opq.Specific_Heat_range,"(2200, 2400)"
4136730,fenez_ground_floor_opq.Thermal_Absorptance_range,"(0.9, 0.9)"
4136730,fenez_ground_floor_opq.Solar_Absorptance_range,"(0.7, 0.7)"
4136730,fenez_ground_floor_opq.Visible_Absorptance_range,"(0.7, 0.7)"
4136730,fenez_ground_floor_opq.Thickness,0.18641140016537977
4136730,fenez_ground_floor_opq.Conductivity,0.0745645600661519
4136730,fenez_ground_floor_opq.Density,621.8637974803603
4136730,fenez_ground_floor_opq.Specific_Heat,2301.0710576206725
4136730,fenez_ground_floor_opq.Thermal_Absorptance,0.9
4136730,fenez_ground_floor_opq.Solar_Absorptance,0.7
4136730,fenez_ground_floor_opq.Visible_Absorptance,0.7
4136730,fenez_ground_floor_win.obj_type,WINDOWMATERIAL:GLAZING
4136730,fenez_ground_floor_win.Name,Glazing_Clear_3mm
4136730,fenez_ground_floor_win.Optical_Data_Type,SpectralAverage
4136730,fenez_ground_floor_win.Thickness_range,"(0.003, 0.003)"
4136730,fenez_ground_floor_win.Solar_Transmittance_range,"(0.76, 0.78)"
4136730,fenez_ground_floor_win.Front_Solar_Reflectance_range,"(0.07, 0.08)"
4136730,fenez_ground_floor_win.Back_Solar_Reflectance_range,"(0.07, 0.08)"
