scenario_index,ogc_fid,param_name,assigned_value
0,4136730,default_heater_capacity_w,4840.065731116668
0,4136730,default_tank_volume_liters,279.0712182168248
0,4136730,dhw_daily_liters,45.0
0,4136730,dhw_fraction_schedule,0.0
0,4136730,dhw_heater_capacity_w,4223.210738148823
0,4136730,dhw_heater_fuel_type,0.0
0,4136730,dhw_heater_thermal_eff,0.9
0,4136730,dhw_occupant_count,1.0
0,4136730,dhw_peak_flow_m3s,2.7459390168016543e-06
0,4136730,dhw_setpoint_schedule,0.0
0,4136730,dhw_tank_volume_m3,0.2775029318369119
0,4136730,dhw_waterheater_object_name,0.0
0,4136730,liters_per_person_per_day,57.57093331202734
0,4136730,occupant_density_m2_per_person,29.46581057029495
0,4136730,peak_hours,2.313657780783227
0,4136730,sched_afternoon,0.26463647973266613
0,4136730,sched_evening,0.9469891189595988
0,4136730,sched_morning,0.6950667688499262
0,4136730,sched_peak,0.9259821661535925
0,4136730,setpoint_c,58.815794199082696
0,4136730,usage_split_factor,0.5398661813932515
0,4136730,Heater_Fuel_Type,0.0
0,4136730,Heater_Maximum_Capacity,4223.210738148823
0,4136730,Heater_Thermal_Efficiency,0.9
0,4136730,Name,0.0
0,4136730,Setpoint_Temperature_Schedule_Name,0.0
0,4136730,Tank_Volume,0.2775029318369119
0,4136730,Use_Flow_Rate_Fraction_Schedule_Name,0.0
0,4136730,obj_type,0.0
1,4136730,default_heater_capacity_w,4883.736715164553
1,4136730,default_tank_volume_liters,257.41559860816983
1,4136730,dhw_daily_liters,45.0
1,4136730,dhw_fraction_schedule,0.0
1,4136730,dhw_heater_capacity_w,4223.210738148823
1,4136730,dhw_heater_fuel_type,0.0
1,4136730,dhw_heater_thermal_eff,0.9
1,4136730,dhw_occupant_count,1.0
1,4136730,dhw_peak_flow_m3s,2.7459390168016543e-06
1,4136730,dhw_setpoint_schedule,0.0
1,4136730,dhw_tank_volume_m3,0.2775029318369119
1,4136730,dhw_waterheater_object_name,0.0
1,4136730,liters_per_person_per_day,62.72428060809874
1,4136730,occupant_density_m2_per_person,28.382575568646295
1,4136730,peak_hours,2.9749736137707985
1,4136730,sched_afternoon,0.2534619187659545
1,4136730,sched_evening,0.8886651409830008
1,4136730,sched_morning,0.6922263919466252
1,4136730,sched_peak,0.9893073117843659
1,4136730,setpoint_c,59.78564126728898
1,4136730,usage_split_factor,0.5511834595701073
1,4136730,Heater_Fuel_Type,0.0
1,4136730,Heater_Maximum_Capacity,4223.210738148823
1,4136730,Heater_Thermal_Efficiency,0.9
1,4136730,Name,0.0
1,4136730,Setpoint_Temperature_Schedule_Name,0.0
1,4136730,Tank_Volume,0.2775029318369119
1,4136730,Use_Flow_Rate_Fraction_Schedule_Name,0.0
1,4136730,obj_type,0.0
2,4136730,default_heater_capacity_w,4053.236689573887
2,4136730,default_tank_volume_liters,253.80428937024192
2,4136730,dhw_daily_liters,45.0
2,4136730,dhw_fraction_schedule,0.0
2,4136730,dhw_heater_capacity_w,4223.210738148823
2,4136730,dhw_heater_fuel_type,0.0
2,4136730,dhw_heater_thermal_eff,0.9
2,4136730,dhw_occupant_count,1.0
2,4136730,dhw_peak_flow_m3s,2.7459390168016543e-06
2,4136730,dhw_setpoint_schedule,0.0
2,4136730,dhw_tank_volume_m3,0.2775029318369119
2,4136730,dhw_waterheater_object_name,0.0
2,4136730,liters_per_person_per_day,55.46379123893551
2,4136730,occupant_density_m2_per_person,30.22858600785446
2,4136730,peak_hours,2.094839487604702
2,4136730,sched_afternoon,0.263729316934336
2,4136730,sched_evening,0.8966989246175967
2,4136730,sched_morning,0.7155952402376319
2,4136730,sched_peak,1.0553961405737247
2,4136730,setpoint_c,58.38803626733791
2,4136730,usage_split_factor,0.6054792843370048
2,4136730,Heater_Fuel_Type,0.0
2,4136730,Heater_Maximum_Capacity,4223.210738148823
2,4136730,Heater_Thermal_Efficiency,0.9
2,4136730,Name,0.0
2,4136730,Setpoint_Temperature_Schedule_Name,0.0
2,4136730,Tank_Volume,0.2775029318369119
2,4136730,Use_Flow_Rate_Fraction_Schedule_Name,0.0
2,4136730,obj_type,0.0
