Parameter,Correlation,AbsCorrelation,TargetVariable
default_heater_capacity_w,0.9817614541504286,0.9817614541504286,Heating:EnergyTransfer [J](Hourly)
sched_afternoon,-0.9666371350474476,0.9666371350474476,Heating:EnergyTransfer [J](Hourly)
default_tank_volume_liters,0.8855316148893959,0.8855316148893959,Heating:EnergyTransfer [J](Hourly)
cooling_night_setpoint,-0.8802023766656438,0.8802023766656438,Heating:EnergyTransfer [J](Hourly)
peak_hours,-0.8734769256259906,0.8734769256259906,Heating:EnergyTransfer [J](Hourly)
sched_peak,-0.8399471762466191,0.8399471762466191,Heating:EnergyTransfer [J](Hourly)
cooling_day_setpoint,0.8299779707038779,0.8299779707038779,Heating:EnergyTransfer [J](Hourly)
Back_Visible_Reflectance,-0.748679071507005,0.748679071507005,Heating:EnergyTransfer [J](Hourly)
heating_day_setpoint,-0.7349228021612324,0.7349228021612324,Heating:EnergyTransfer [J](Hourly)
Back_Solar_Reflectance,0.7190101821075766,0.7190101821075766,Heating:EnergyTransfer [J](Hourly)
Solar_Transmittance,-0.6844209425875883,0.6844209425875883,Heating:EnergyTransfer [J](Hourly)
Visible_Transmittance,0.680280269694081,0.680280269694081,Heating:EnergyTransfer [J](Hourly)
sched_morning,0.5943921604519795,0.5943921604519795,Heating:EnergyTransfer [J](Hourly)
liters_per_person_per_day,-0.5385446233654227,0.5385446233654227,Heating:EnergyTransfer [J](Hourly)
min_cooling_supply_air_temp,0.48023679419093207,0.48023679419093207,Heating:EnergyTransfer [J](Hourly)
Conductivity,0.47878146656924214,0.47878146656924214,Heating:EnergyTransfer [J](Hourly)
max_heating_supply_air_temp,0.44950953120523807,0.44950953120523807,Heating:EnergyTransfer [J](Hourly)
setpoint_c,-0.4082900679439568,0.4082900679439568,Heating:EnergyTransfer [J](Hourly)
Front_Solar_Reflectance,0.336059534936482,0.336059534936482,Heating:EnergyTransfer [J](Hourly)
Specific_Heat,-0.29767885488789686,0.29767885488789686,Heating:EnergyTransfer [J](Hourly)
usage_split_factor,-0.254911956300634,0.254911956300634,Heating:EnergyTransfer [J](Hourly)
sched_evening,-0.2484668924837971,0.2484668924837971,Heating:EnergyTransfer [J](Hourly)
Thermal_Resistance,0.24308974460441918,0.24308974460441918,Heating:EnergyTransfer [J](Hourly)
Front_Visible_Reflectance,0.1658830191027973,0.1658830191027973,Heating:EnergyTransfer [J](Hourly)
occupant_density_m2_per_person,-0.13388874174024984,0.13388874174024984,Heating:EnergyTransfer [J](Hourly)
heating_night_setpoint,0.09111312285046085,0.09111312285046085,Heating:EnergyTransfer [J](Hourly)
Density,0.011389731431544658,0.011389731431544658,Heating:EnergyTransfer [J](Hourly)
Back_IR_Emissivity,,,Heating:EnergyTransfer [J](Hourly)
Dirt_Correction_Factor,,,Heating:EnergyTransfer [J](Hourly)
Front_IR_Emissivity,,,Heating:EnergyTransfer [J](Hourly)
Heater_Fuel_Type,,,Heating:EnergyTransfer [J](Hourly)
Heater_Maximum_Capacity,,,Heating:EnergyTransfer [J](Hourly)
Heater_Thermal_Efficiency,,,Heating:EnergyTransfer [J](Hourly)
IR_Transmittance,,,Heating:EnergyTransfer [J](Hourly)
Name,,,Heating:EnergyTransfer [J](Hourly)
Optical_Data_Type,,,Heating:EnergyTransfer [J](Hourly)
Roughness,,,Heating:EnergyTransfer [J](Hourly)
Setpoint_Temperature_Schedule_Name,,,Heating:EnergyTransfer [J](Hourly)
Solar_Absorptance,,,Heating:EnergyTransfer [J](Hourly)
Solar_Diffusing,,,Heating:EnergyTransfer [J](Hourly)
Tank_Volume,,,Heating:EnergyTransfer [J](Hourly)
Thermal_Absorptance,,,Heating:EnergyTransfer [J](Hourly)
Thickness,,,Heating:EnergyTransfer [J](Hourly)
Use_Flow_Rate_Fraction_Schedule_Name,,,Heating:EnergyTransfer [J](Hourly)
Visible_Absorptance,,,Heating:EnergyTransfer [J](Hourly)
dhw_daily_liters,,,Heating:EnergyTransfer [J](Hourly)
dhw_fraction_schedule,,,Heating:EnergyTransfer [J](Hourly)
dhw_heater_capacity_w,,,Heating:EnergyTransfer [J](Hourly)
dhw_heater_fuel_type,,,Heating:EnergyTransfer [J](Hourly)
dhw_heater_thermal_eff,,,Heating:EnergyTransfer [J](Hourly)
dhw_occupant_count,,,Heating:EnergyTransfer [J](Hourly)
dhw_peak_flow_m3s,,,Heating:EnergyTransfer [J](Hourly)
dhw_setpoint_schedule,,,Heating:EnergyTransfer [J](Hourly)
dhw_tank_volume_m3,,,Heating:EnergyTransfer [J](Hourly)
dhw_waterheater_object_name,,,Heating:EnergyTransfer [J](Hourly)
doors_R_value_range_used,,,Heating:EnergyTransfer [J](Hourly)
doors_U_value,,,Heating:EnergyTransfer [J](Hourly)
doors_U_value_range_used,,,Heating:EnergyTransfer [J](Hourly)
doors_area_m2,,,Heating:EnergyTransfer [J](Hourly)
doors_construction_name,,,Heating:EnergyTransfer [J](Hourly)
doors_opq_material_name,,,Heating:EnergyTransfer [J](Hourly)
doors_win_material_name,,,Heating:EnergyTransfer [J](Hourly)
doors_window_construction_name,,,Heating:EnergyTransfer [J](Hourly)
equip_fraction_lost,,,Heating:EnergyTransfer [J](Hourly)
equip_fraction_radiant,,,Heating:EnergyTransfer [J](Hourly)
exterior_wall_R_value,,,Heating:EnergyTransfer [J](Hourly)
exterior_wall_R_value_range_used,,,Heating:EnergyTransfer [J](Hourly)
exterior_wall_U_value,,,Heating:EnergyTransfer [J](Hourly)
exterior_wall_U_value_range_used,,,Heating:EnergyTransfer [J](Hourly)
exterior_wall_area_m2,,,Heating:EnergyTransfer [J](Hourly)
exterior_wall_construction_name,,,Heating:EnergyTransfer [J](Hourly)
exterior_wall_opq_material_name,,,Heating:EnergyTransfer [J](Hourly)
exterior_wall_win_material_name,,,Heating:EnergyTransfer [J](Hourly)
exterior_wall_window_construction_name,,,Heating:EnergyTransfer [J](Hourly)
f_ctrl,,,Heating:EnergyTransfer [J](Hourly)
f_ctrl_range,,,Heating:EnergyTransfer [J](Hourly)
fan_pressure,,,Heating:EnergyTransfer [J](Hourly)
fan_pressure_range,,,Heating:EnergyTransfer [J](Hourly)
fenestration_objects,,,Heating:EnergyTransfer [J](Hourly)
final_wwr,,,Heating:EnergyTransfer [J](Hourly)
flat_roof_R_value,,,Heating:EnergyTransfer [J](Hourly)
flat_roof_R_value_range_used,,,Heating:EnergyTransfer [J](Hourly)
flat_roof_U_value,,,Heating:EnergyTransfer [J](Hourly)
flat_roof_U_value_range_used,,,Heating:EnergyTransfer [J](Hourly)
flat_roof_area_m2,,,Heating:EnergyTransfer [J](Hourly)
flat_roof_construction_name,,,Heating:EnergyTransfer [J](Hourly)
flat_roof_opq_material_name,,,Heating:EnergyTransfer [J](Hourly)
flat_roof_win_material_name,,,Heating:EnergyTransfer [J](Hourly)
flat_roof_window_construction_name,,,Heating:EnergyTransfer [J](Hourly)
flow_exponent,,,Heating:EnergyTransfer [J](Hourly)
ground_floor_R_value,,,Heating:EnergyTransfer [J](Hourly)
ground_floor_R_value_range_used,,,Heating:EnergyTransfer [J](Hourly)
ground_floor_U_value,,,Heating:EnergyTransfer [J](Hourly)
ground_floor_U_value_range_used,,,Heating:EnergyTransfer [J](Hourly)
ground_floor_area_m2,,,Heating:EnergyTransfer [J](Hourly)
ground_floor_construction_name,,,Heating:EnergyTransfer [J](Hourly)
ground_floor_opq_material_name,,,Heating:EnergyTransfer [J](Hourly)
ground_floor_win_material_name,,,Heating:EnergyTransfer [J](Hourly)
ground_floor_window_construction_name,,,Heating:EnergyTransfer [J](Hourly)
hrv_eff,,,Heating:EnergyTransfer [J](Hourly)
hrv_eff_range,,,Heating:EnergyTransfer [J](Hourly)
infiltration_base,,,Heating:EnergyTransfer [J](Hourly)
infiltration_base_range,,,Heating:EnergyTransfer [J](Hourly)
infiltration_schedule_name,,,Heating:EnergyTransfer [J](Hourly)
infiltration_total_m3_s,,,Heating:EnergyTransfer [J](Hourly)
inter_floor_R_value,,,Heating:EnergyTransfer [J](Hourly)
inter_floor_R_value_range_used,,,Heating:EnergyTransfer [J](Hourly)
inter_floor_U_value,,,Heating:EnergyTransfer [J](Hourly)
inter_floor_U_value_range_used,,,Heating:EnergyTransfer [J](Hourly)
inter_floor_area_m2,,,Heating:EnergyTransfer [J](Hourly)
inter_floor_construction_name,,,Heating:EnergyTransfer [J](Hourly)
inter_floor_opq_material_name,,,Heating:EnergyTransfer [J](Hourly)
inter_floor_win_material_name,,,Heating:EnergyTransfer [J](Hourly)
inter_floor_window_construction_name,,,Heating:EnergyTransfer [J](Hourly)
interior_wall_R_value,,,Heating:EnergyTransfer [J](Hourly)
interior_wall_R_value_range_used,,,Heating:EnergyTransfer [J](Hourly)
interior_wall_U_value,,,Heating:EnergyTransfer [J](Hourly)
interior_wall_U_value_range_used,,,Heating:EnergyTransfer [J](Hourly)
interior_wall_area_m2,,,Heating:EnergyTransfer [J](Hourly)
interior_wall_construction_name,,,Heating:EnergyTransfer [J](Hourly)
interior_wall_opq_material_name,,,Heating:EnergyTransfer [J](Hourly)
interior_wall_win_material_name,,,Heating:EnergyTransfer [J](Hourly)
interior_wall_window_construction_name,,,Heating:EnergyTransfer [J](Hourly)
lights_fraction_radiant,,,Heating:EnergyTransfer [J](Hourly)
lights_fraction_replaceable,,,Heating:EnergyTransfer [J](Hourly)
lights_fraction_visible,,,Heating:EnergyTransfer [J](Hourly)
lights_wm2,,,Heating:EnergyTransfer [J](Hourly)
obj_type,,,Heating:EnergyTransfer [J](Hourly)
parasitic_wm2,,,Heating:EnergyTransfer [J](Hourly)
roughness,,,Heating:EnergyTransfer [J](Hourly)
system_type,,,Heating:EnergyTransfer [J](Hourly)
tD,,,Heating:EnergyTransfer [J](Hourly)
tN,,,Heating:EnergyTransfer [J](Hourly)
top_opaque_material_name,,,Heating:EnergyTransfer [J](Hourly)
top_window_material_name,,,Heating:EnergyTransfer [J](Hourly)
ventilation_schedule_name,,,Heating:EnergyTransfer [J](Hourly)
ventilation_total_m3_s,,,Heating:EnergyTransfer [J](Hourly)
window1C_construction,,,Heating:EnergyTransfer [J](Hourly)
windows_R_value_range_used,,,Heating:EnergyTransfer [J](Hourly)
windows_U_value,,,Heating:EnergyTransfer [J](Hourly)
windows_U_value_range_used,,,Heating:EnergyTransfer [J](Hourly)
windows_area_m2,,,Heating:EnergyTransfer [J](Hourly)
windows_construction_name,,,Heating:EnergyTransfer [J](Hourly)
windows_opq_material_name,,,Heating:EnergyTransfer [J](Hourly)
windows_win_material_name,,,Heating:EnergyTransfer [J](Hourly)
windows_window_construction_name,,,Heating:EnergyTransfer [J](Hourly)
wwr,,,Heating:EnergyTransfer [J](Hourly)
wwr_range_used,,,Heating:EnergyTransfer [J](Hourly)
year_factor,,,Heating:EnergyTransfer [J](Hourly)
year_factor_range,,,Heating:EnergyTransfer [J](Hourly)
Thermal_Resistance,-0.9680341766227223,0.9680341766227223,Electricity:Facility [J](Hourly)
sched_peak,0.757190250670042,0.757190250670042,Electricity:Facility [J](Hourly)
