param,S1,ST
Back_IR_Emissivity,8.203216966194103e-06,2.4956650777237933e-08
Back_Solar_Reflectance,1.5599226292589814e-05,1.8706245975661466e-08
Back_Visible_Reflectance,-1.5923850876177242e-05,1.4261988504302112e-08
Conductivity,-1.499852052227465e-06,2.7188037367630352e-08
Density,0.09208390012829172,0.09209812021882664
Dirt_Correction_Factor,-6.189892043016936e-05,2.8839815260870858e-08
Front_IR_Emissivity,4.821381150144887e-06,3.01350349649879e-08
Front_Solar_Reflectance,5.907159805786202e-06,1.777322411763004e-08
Front_Visible_Reflectance,-1.8218322848166774e-05,1.4857325866675371e-08
Heater_Fuel_Type,-1.7182749609571802e-05,1.720309524741525e-08
Heater_Maximum_Capacity,0.30735695791391704,0.30191012109514104
Heater_Thermal_Efficiency,3.977538382891276e-06,2.988766917753208e-08
IR_Transmittance,4.267906564709447e-07,1.7300010349705545e-08
Name,-5.6872449516652805e-06,1.6229963831312352e-08
Optical_Data_Type,-7.2122250072889745e-06,1.739539018164321e-08
Roughness,-5.9519236168111415e-06,1.7871388024199483e-08
Setpoint_Temperature_Schedule_Name,-2.7994378257456844e-05,1.43636839392281e-08
Solar_Absorptance,4.481407286666192e-06,2.4795528173945774e-08
Solar_Diffusing,-9.928323602408039e-06,1.3820457383099604e-08
Solar_Transmittance,-1.030443766016831e-05,2.517196156534603e-08
Specific_Heat,0.026343644133161523,0.014759521354314402
Tank_Volume,-3.787208543864371e-06,1.672741013692681e-08
Thermal_Absorptance,-1.4124900971454609e-05,3.2446149290052016e-08
Thermal_Resistance,2.6420210572616026e-05,3.0663183718548617e-07
Thickness,-4.2774724380896105e-06,1.6327659406353865e-08
Use_Flow_Rate_Fraction_Schedule_Name,-4.251755448067049e-06,1.5977415340020507e-08
Visible_Absorptance,1.0664816721835666e-05,2.2308781774450242e-08
Visible_Transmittance,-4.2768732194296516e-06,2.376865326495745e-08
cooling_day_setpoint,-3.343761500019552e-05,1.1258237900391493e-05
cooling_night_setpoint,-4.568947897479952e-05,1.2111988701284087e-05
default_heater_capacity_w,0.2911654045917405,0.32700175945014687
default_tank_volume_liters,0.001984517671127729,0.001783834215137637
dhw_daily_liters,-9.97547195172451e-06,3.4093548391464136e-05
